[0806/160317.080:ERROR:os_crypt_win.cc(93)] Failed to decrypt: Key not valid for use in specified state. (0x8009000B)
[0806/160318.617:WARNING:backend_impl.cc(1837)] Destroying invalid entry.
[0806/160318.618:ERROR:backend_impl.cc(1041)] Critical error found -8
[0806/160318.674:WARNING:storage_block-inl.h(146)] Failed data load.
[0806/160318.675:WARNING:storage_block-inl.h(146)] Failed data load.
[0806/160318.675:WARNING:storage_block-inl.h(146)] Failed data load.
[0806/160318.675:WARNING:storage_block-inl.h(146)] Failed data load.
[0806/160318.676:ERROR:entry_impl.cc(998)] Failed to save user data
[0806/160318.676:ERROR:entry_impl.cc(998)] Failed to save user data
[0806/160321.167:WARNING:value_store_frontend.cc(45)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[0806/160517.344:ERROR:gpu_init.cc(426)] Passthrough is not supported, GL is disabled
[0806/161248.213:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161248.218:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161250.007:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161250.012:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161253.908:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161253.912:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161257.309:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161257.311:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161300.719:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161300.721:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161303.382:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161303.388:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161303.396:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161303.401:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161305.521:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161305.523:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161305.721:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161305.731:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161306.137:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161306.145:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161306.155:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161313.248:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161313.254:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161318.249:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161318.269:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161323.251:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161323.287:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161328.791:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161328.795:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161333.797:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161333.802:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161338.798:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0806/161338.812:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
